Edad;Hombres;Mujeres;Categoría
0;-0.27;0.25;Zonas rurales
1;-0.29;0.27;Zonas rurales
2;-0.28;0.26;Zonas rurales
3;-0.3;0.28;Zonas rurales
4;-0.31;0.29;Zonas rurales
5;-0.32;0.31;Zonas rurales
6;-0.34;0.32;Zonas rurales
7;-0.36;0.34;Zonas rurales
8;-0.36;0.34;Zonas rurales
9;-0.35;0.33;Zonas rurales
10;-0.38;0.36;Zonas rurales
11;-0.38;0.37;Zonas rurales
12;-0.39;0.38;Zonas rurales
13;-0.4;0.37;Zonas rurales
14;-0.42;0.4;Zonas rurales
15;-0.41;0.38;Zonas rurales
16;-0.41;0.38;Zonas rurales
17;-0.42;0.38;Zonas rurales
18;-0.42;0.39;Zonas rurales
19;-0.42;0.4;Zonas rurales
20;-0.43;0.38;Zonas rurales
21;-0.44;0.4;Zonas rurales
22;-0.45;0.41;Zonas rurales
23;-0.45;0.4;Zonas rurales
24;-0.45;0.39;Zonas rurales
25;-0.47;0.41;Zonas rurales
26;-0.46;0.4;Zonas rurales
27;-0.47;0.41;Zonas rurales
28;-0.48;0.42;Zonas rurales
29;-0.49;0.43;Zonas rurales
30;-0.52;0.44;Zonas rurales
31;-0.52;0.45;Zonas rurales
32;-0.54;0.46;Zonas rurales
33;-0.55;0.47;Zonas rurales
34;-0.56;0.48;Zonas rurales
35;-0.56;0.48;Zonas rurales
36;-0.59;0.49;Zonas rurales
37;-0.59;0.5;Zonas rurales
38;-0.62;0.52;Zonas rurales
39;-0.63;0.53;Zonas rurales
40;-0.66;0.55;Zonas rurales
41;-0.69;0.58;Zonas rurales
42;-0.73;0.61;Zonas rurales
43;-0.74;0.62;Zonas rurales
44;-0.77;0.65;Zonas rurales
45;-0.79;0.64;Zonas rurales
46;-0.82;0.67;Zonas rurales
47;-0.82;0.67;Zonas rurales
48;-0.82;0.67;Zonas rurales
49;-0.82;0.67;Zonas rurales
50;-0.83;0.68;Zonas rurales
51;-0.84;0.69;Zonas rurales
52;-0.85;0.7;Zonas rurales
53;-0.88;0.72;Zonas rurales
54;-0.89;0.74;Zonas rurales
55;-0.91;0.75;Zonas rurales
56;-0.9;0.76;Zonas rurales
57;-0.91;0.76;Zonas rurales
58;-0.94;0.8;Zonas rurales
59;-0.93;0.76;Zonas rurales
60;-0.91;0.75;Zonas rurales
61;-0.91;0.75;Zonas rurales
62;-0.9;0.75;Zonas rurales
63;-0.89;0.72;Zonas rurales
64;-0.85;0.69;Zonas rurales
65;-0.83;0.67;Zonas rurales
66;-0.76;0.63;Zonas rurales
67;-0.73;0.6;Zonas rurales
68;-0.7;0.58;Zonas rurales
69;-0.69;0.58;Zonas rurales
70;-0.69;0.58;Zonas rurales
71;-0.62;0.55;Zonas rurales
72;-0.61;0.54;Zonas rurales
73;-0.61;0.57;Zonas rurales
74;-0.63;0.6;Zonas rurales
75;-0.56;0.55;Zonas rurales
76;-0.53;0.53;Zonas rurales
77;-0.54;0.57;Zonas rurales
78;-0.52;0.53;Zonas rurales
79;-0.49;0.55;Zonas rurales
80;-0.42;0.48;Zonas rurales
81;-0.38;0.45;Zonas rurales
82;-0.44;0.55;Zonas rurales
83;-0.27;0.35;Zonas rurales
84;-0.29;0.39;Zonas rurales
85;-0.33;0.45;Zonas rurales
86;-0.35;0.5;Zonas rurales
87;-0.3;0.45;Zonas rurales
88;-0.28;0.42;Zonas rurales
89;-0.24;0.4;Zonas rurales
90;-0.21;0.35;Zonas rurales
91;-0.17;0.3;Zonas rurales
92;-0.15;0.26;Zonas rurales
93;-0.1;0.21;Zonas rurales
94;-0.08;0.17;Zonas rurales
95;-0.06;0.12;Zonas rurales
96;-0.04;0.1;Zonas rurales
97;-0.03;0.07;Zonas rurales
98;-0.02;0.05;Zonas rurales
99;-0.01;0.04;Zonas rurales
100+;-0.02;0.05;Zonas rurales
0;-0.37;0.34;Grandes ciudades
1;-0.38;0.35;Grandes ciudades
2;-0.36;0.35;Grandes ciudades
3;-0.38;0.36;Grandes ciudades
4;-0.39;0.38;Grandes ciudades
5;-0.42;0.39;Grandes ciudades
6;-0.43;0.41;Grandes ciudades
7;-0.44;0.42;Grandes ciudades
8;-0.45;0.43;Grandes ciudades
9;-0.44;0.42;Grandes ciudades
10;-0.46;0.44;Grandes ciudades
11;-0.46;0.45;Grandes ciudades
12;-0.47;0.45;Grandes ciudades
13;-0.49;0.46;Grandes ciudades
14;-0.5;0.48;Grandes ciudades
15;-0.49;0.46;Grandes ciudades
16;-0.48;0.46;Grandes ciudades
17;-0.48;0.47;Grandes ciudades
18;-0.5;0.48;Grandes ciudades
19;-0.52;0.5;Grandes ciudades
20;-0.51;0.5;Grandes ciudades
21;-0.52;0.51;Grandes ciudades
22;-0.55;0.54;Grandes ciudades
23;-0.55;0.56;Grandes ciudades
24;-0.56;0.57;Grandes ciudades
25;-0.59;0.62;Grandes ciudades
26;-0.61;0.64;Grandes ciudades
27;-0.63;0.66;Grandes ciudades
28;-0.66;0.69;Grandes ciudades
29;-0.68;0.71;Grandes ciudades
30;-0.7;0.72;Grandes ciudades
31;-0.69;0.7;Grandes ciudades
32;-0.68;0.7;Grandes ciudades
33;-0.68;0.7;Grandes ciudades
34;-0.67;0.69;Grandes ciudades
35;-0.67;0.67;Grandes ciudades
36;-0.66;0.69;Grandes ciudades
37;-0.67;0.69;Grandes ciudades
38;-0.68;0.71;Grandes ciudades
39;-0.69;0.7;Grandes ciudades
40;-0.71;0.73;Grandes ciudades
41;-0.72;0.74;Grandes ciudades
42;-0.74;0.76;Grandes ciudades
43;-0.75;0.77;Grandes ciudades
44;-0.77;0.8;Grandes ciudades
45;-0.78;0.81;Grandes ciudades
46;-0.79;0.83;Grandes ciudades
47;-0.79;0.81;Grandes ciudades
48;-0.78;0.82;Grandes ciudades
49;-0.76;0.8;Grandes ciudades
50;-0.75;0.8;Grandes ciudades
51;-0.73;0.78;Grandes ciudades
52;-0.72;0.77;Grandes ciudades
53;-0.7;0.76;Grandes ciudades
54;-0.69;0.76;Grandes ciudades
55;-0.69;0.77;Grandes ciudades
56;-0.68;0.76;Grandes ciudades
57;-0.67;0.77;Grandes ciudades
58;-0.68;0.77;Grandes ciudades
59;-0.64;0.74;Grandes ciudades
60;-0.61;0.71;Grandes ciudades
61;-0.58;0.69;Grandes ciudades
62;-0.58;0.69;Grandes ciudades
63;-0.56;0.67;Grandes ciudades
64;-0.54;0.65;Grandes ciudades
65;-0.52;0.64;Grandes ciudades
66;-0.48;0.6;Grandes ciudades
67;-0.46;0.58;Grandes ciudades
68;-0.42;0.55;Grandes ciudades
69;-0.41;0.55;Grandes ciudades
70;-0.42;0.55;Grandes ciudades
71;-0.39;0.52;Grandes ciudades
72;-0.38;0.51;Grandes ciudades
73;-0.39;0.53;Grandes ciudades
74;-0.4;0.55;Grandes ciudades
75;-0.37;0.51;Grandes ciudades
76;-0.34;0.49;Grandes ciudades
77;-0.35;0.5;Grandes ciudades
78;-0.33;0.48;Grandes ciudades
79;-0.31;0.47;Grandes ciudades
80;-0.26;0.39;Grandes ciudades
81;-0.24;0.36;Grandes ciudades
82;-0.28;0.44;Grandes ciudades
83;-0.17;0.28;Grandes ciudades
84;-0.18;0.3;Grandes ciudades
85;-0.18;0.33;Grandes ciudades
86;-0.18;0.33;Grandes ciudades
87;-0.16;0.3;Grandes ciudades
88;-0.14;0.28;Grandes ciudades
89;-0.12;0.26;Grandes ciudades
90;-0.1;0.23;Grandes ciudades
91;-0.08;0.19;Grandes ciudades
92;-0.06;0.17;Grandes ciudades
93;-0.05;0.13;Grandes ciudades
94;-0.04;0.1;Grandes ciudades
95;-0.02;0.08;Grandes ciudades
96;-0.02;0.06;Grandes ciudades
97;-0.01;0.04;Grandes ciudades
98;-0.01;0.03;Grandes ciudades
99;-0.01;0.02;Grandes ciudades
100+;-0.01;0.03;Grandes ciudades
0;-0.35;0.33;Total España
1;-0.37;0.35;Total España
2;-0.37;0.35;Total España
3;-0.4;0.37;Total España
4;-0.42;0.4;Total España
5;-0.45;0.42;Total España
6;-0.47;0.44;Total España
7;-0.48;0.46;Total España
8;-0.49;0.46;Total España
9;-0.49;0.46;Total España
10;-0.52;0.49;Total España
11;-0.53;0.5;Total España
12;-0.54;0.51;Total España
13;-0.55;0.52;Total España
14;-0.57;0.54;Total España
15;-0.55;0.52;Total España
16;-0.55;0.52;Total España
17;-0.54;0.51;Total España
18;-0.55;0.51;Total España
19;-0.55;0.51;Total España
20;-0.54;0.5;Total España
21;-0.54;0.5;Total España
22;-0.55;0.51;Total España
23;-0.53;0.51;Total España
24;-0.53;0.5;Total España
25;-0.54;0.51;Total España
26;-0.53;0.51;Total España
27;-0.54;0.52;Total España
28;-0.55;0.53;Total España
29;-0.56;0.55;Total España
30;-0.58;0.57;Total España
31;-0.58;0.56;Total España
32;-0.58;0.57;Total España
33;-0.59;0.59;Total España
34;-0.6;0.6;Total España
35;-0.61;0.61;Total España
36;-0.62;0.62;Total España
37;-0.64;0.64;Total España
38;-0.66;0.66;Total España
39;-0.68;0.68;Total España
40;-0.72;0.72;Total España
41;-0.75;0.75;Total España
42;-0.79;0.78;Total España
43;-0.81;0.8;Total España
44;-0.84;0.83;Total España
45;-0.85;0.84;Total España
46;-0.87;0.85;Total España
47;-0.86;0.84;Total España
48;-0.85;0.84;Total España
49;-0.83;0.81;Total España
50;-0.82;0.81;Total España
51;-0.8;0.8;Total España
52;-0.79;0.79;Total España
53;-0.78;0.78;Total España
54;-0.76;0.77;Total España
55;-0.76;0.78;Total España
56;-0.74;0.76;Total España
57;-0.73;0.75;Total España
58;-0.74;0.76;Total España
59;-0.7;0.72;Total España
60;-0.67;0.7;Total España
61;-0.65;0.68;Total España
62;-0.64;0.69;Total España
63;-0.62;0.66;Total España
64;-0.6;0.65;Total España
65;-0.58;0.63;Total España
66;-0.54;0.59;Total España
67;-0.52;0.57;Total España
68;-0.48;0.54;Total España
69;-0.48;0.54;Total España
70;-0.47;0.53;Total España
71;-0.44;0.5;Total España
72;-0.42;0.48;Total España
73;-0.42;0.5;Total España
74;-0.43;0.52;Total España
75;-0.39;0.47;Total España
76;-0.36;0.45;Total España
77;-0.36;0.46;Total España
78;-0.33;0.43;Total España
79;-0.32;0.42;Total España
80;-0.26;0.35;Total España
81;-0.23;0.32;Total España
82;-0.26;0.38;Total España
83;-0.16;0.24;Total España
84;-0.17;0.26;Total España
85;-0.18;0.28;Total España
86;-0.17;0.29;Total España
87;-0.15;0.26;Total España
88;-0.13;0.24;Total España
89;-0.12;0.22;Total España
90;-0.1;0.2;Total España
91;-0.08;0.16;Total España
92;-0.06;0.14;Total España
93;-0.04;0.11;Total España
94;-0.03;0.09;Total España
95;-0.02;0.06;Total España
96;-0.02;0.05;Total España
97;-0.01;0.03;Total España
98;-0.01;0.02;Total España
99;0;0.02;Total España
100+;-0.01;0.03;Total España
